chrom	start	end	num	list	SRR1665054.sam_MENA_rubella.bed	SRR1665063.sam_MENA_rubella.bed	SRR1665070.sam_MENA_rubella.bed	SRR6382384.sam_MENA_rubella.bed	SRR6382386.sam_MENA_rubella.bed	SRR6382397.sam_MENA_rubella.bed	SRR8904463.sam_MENA_rubella.bed	SRR8904466.sam_MENA_rubella.bed
jlSCF_9	570347	696198	1	7	0	0	0	0	0	0	1	0
jlSCF_9	696198	735815	2	1,7	1	0	0	0	0	0	1	0
jlSCF_9	735815	900643	1	7	0	0	0	0	0	0	1	0
jlSCF_9	973526	1141257	1	7	0	0	0	0	0	0	1	0
jlSCF_9	1977343	2019028	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_9	2209622	2627400	1	3	0	0	1	0	0	0	0	0
jlSCF_9	2637381	2701856	1	7	0	0	0	0	0	0	1	0
jlSCF_9	2848881	3142504	1	7	0	0	0	0	0	0	1	0
jlSCF_9	3280303	3334869	1	8	0	0	0	0	0	0	0	1
jlSCF_9	3374743	3641554	1	7	0	0	0	0	0	0	1	0
jlSCF_9	3641554	3697830	5	1,2,3,7,8	1	1	1	0	0	0	1	1
jlSCF_9	3697830	3857005	1	7	0	0	0	0	0	0	1	0
jlSCF_9	3857005	3873129	2	7,8	0	0	0	0	0	0	1	1
jlSCF_9	3873129	4014951	4	1,5,7,8	1	0	0	0	1	0	1	1
jlSCF_9	4014951	4371377	3	1,5,7	1	0	0	0	1	0	1	0
jlSCF_9	4371377	4632420	4	1,5,7,8	1	0	0	0	1	0	1	1
jlSCF_9	4632420	4642648	3	1,5,8	1	0	0	0	1	0	0	1
jlSCF_9	4642648	4669683	2	1,5	1	0	0	0	1	0	0	0
jlSCF_9	4669683	4691573	3	1,5,7	1	0	0	0	1	0	1	0
jlSCF_9	4691573	4713869	2	1,7	1	0	0	0	0	0	1	0
jlSCF_9	4713869	5131636	1	7	0	0	0	0	0	0	1	0
jlSCF_9	5131636	5216155	2	1,7	1	0	0	0	0	0	1	0
jlSCF_9	5216155	5296899	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_9	5296899	5322074	2	1,7	1	0	0	0	0	0	1	0
jlSCF_9	5322074	5366200	1	1	1	0	0	0	0	0	0	0
jlSCF_9	5366200	5438137	2	1,7	1	0	0	0	0	0	1	0
jlSCF_9	5438137	5482440	1	1	1	0	0	0	0	0	0	0
jlSCF_9	5482440	5487420	2	1,5	1	0	0	0	1	0	0	0
jlSCF_9	5487420	5580980	1	5	0	0	0	0	1	0	0	0
jlSCF_9	5580980	5791333	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_9	5791333	5829787	6	1,2,3,4,6,8	1	1	1	1	0	1	0	1
jlSCF_9	5829787	5930818	3	1,2,6	1	1	0	0	0	1	0	0
jlSCF_9	5930818	5972566	2	1,6	1	0	0	0	0	1	0	0
jlSCF_9	6017317	6126555	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_9	6126555	6129450	6	1,2,3,4,6,8	1	1	1	1	0	1	0	1
jlSCF_9	6501682	6650513	1	7	0	0	0	0	0	0	1	0
jlSCF_9	6896472	6918798	6	1,2,3,4,6,8	1	1	1	1	0	1	0	1
jlSCF_9	6918798	6950051	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_9	7285036	7338618	1	7	0	0	0	0	0	0	1	0
jlSCF_9	7338618	7387532	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_9	7387532	7691559	1	7	0	0	0	0	0	0	1	0
jlSCF_9	8713755	8732782	1	7	0	0	0	0	0	0	1	0
jlSCF_9	9677452	9680526	6	1,2,3,4,5,8	1	1	1	1	1	0	0	1
jlSCF_9	9680526	9683954	5	2,3,4,5,8	0	1	1	1	1	0	0	1
jlSCF_9	9751205	9763221	1	3	0	0	1	0	0	0	0	0
jlSCF_9	10423401	10433385	5	1,2,3,4,8	1	1	1	1	0	0	0	1
jlSCF_9	10510740	10771377	1	7	0	0	0	0	0	0	1	0
jlSCF_9	10827690	10872225	1	7	0	0	0	0	0	0	1	0
jlSCF_9	10943023	10979314	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
jlSCF_9	11333061	11488462	1	7	0	0	0	0	0	0	1	0
