X.IID	pop2
10_137_S27_L003	NYC
10_143_S28_L003	NYC
10_148_S29_L003	NYC
11_160_S30_L003	NYC
11_161_S31_L003	NYC
13_184_S32_L003	NYC
13_188_S33_L003	NYC
13_192_S34_L003	NYC
14_200_S35_L003	NYC
14_201_S36_L003	NYC
15_211_S37_L003	NYC
15_213_S38_L003	NYC
15_224_S39_L003	NYC
16_227_S40_L003	NYC
16_235_S41_L003	NYC
16_239_S42_L003	NYC
17_241_S43_L003	NYC
17_249_S44_L003	NYC
17_254_S45_L003	NYC
18_256_S46_L003	NYC
18_258_S47_L003	NYC
18_270_S48_L003	NYC
19_274_S49_L003	NYC
19_280_S50_L003	NYC
19_284_S51_L003	NYC
1_13_S2_L003	NYC
1_15_S3_L003	NYC
1_3_S1_L003	NYC
20_290_S52_L003	NYC
20_295_S53_L003	NYC
20_300_S54_L003	NYC
21_302_S55_L003	NYC
21_306_S56_L003	NYC
21_312_S57_L003	NYC
22_320_S58_L003	NYC
22_321_S59_L003	NYC
22_325_S60_L003	NYC
23_337_S61_L003	NYC
23_341_S62_L003	NYC
2_19_S4_L003	NYC
2_27_S5_L003	NYC
2_30_S6_L003	NYC
3_36_S7_L003	NYC
3_38_S8_L003	NYC
4_46_S9_L003	NYC
4_54_S10_L003	NYC
4_55_S11_L003	NYC
5_61_S12_L003	NYC
5_66_S13_L003	NYC
5_69_S14_L003	NYC
6_80_S15_L003	NYC
6_83_S16_L003	NYC
6_89_S17_L003	NYC
7_105_S20_L003	NYC
7_94_S18_L003	NYC
7_99_S19_L003	NYC
8_112_S21_L003	NYC
8_117_S22_L003	NYC
8_118_S23_L003	NYC
9_122_S24_L003	NYC
9_123_S25_L003	NYC
9_127_S26_L003	NYC
ERR2990227.sam	N_Europe
ERR5555037.sam	N_Europe
SRR1664898.sam	N_Europe
SRR1665062.sam	N_Europe
SRR1665067.sam	N_Europe
SRR1665071.sam	N_Europe
SRR1665072.sam	N_Europe
SRR1751470.sam	N_Europe
SRR5406791.sam	N_Europe
SRR6382382.sam	N_Europe
SRR6382383.sam	N_Europe
SRR6382385.sam	N_Europe
SRR6382392.sam	N_Europe
SRR6382393.sam	N_Europe
SRR6382399.sam	N_Europe
SRR6382400.sam	N_Europe
SRR8904462.sam	N_Europe
SRR8904464.sam	N_Europe
