chrom	start	end	num	list	SRR1665054.sam_MENA_rubella.bed	SRR1665063.sam_MENA_rubella.bed	SRR1665070.sam_MENA_rubella.bed	SRR6382384.sam_MENA_rubella.bed	SRR6382386.sam_MENA_rubella.bed	SRR6382397.sam_MENA_rubella.bed	SRR8904466.sam_MENA_rubella.bed
jlSCF_9	3855326	3869511	1	7	0	0	0	0	0	0	1
jlSCF_9	3869511	4005646	3	1,5,7	1	0	0	0	1	0	1
jlSCF_9	4005646	4350417	2	1,5	1	0	0	0	1	0	0
jlSCF_9	4350417	4642648	3	1,5,7	1	0	0	0	1	0	1
jlSCF_9	4642648	4694597	2	1,5	1	0	0	0	1	0	0
jlSCF_9	5161256	5321306	1	1	1	0	0	0	0	0	0
jlSCF_9	5505615	5592996	1	5	0	0	0	0	1	0	0
jlSCF_9	5592996	5605152	5	1,2,3,4,5	1	1	1	1	1	0	0
jlSCF_9	5605152	5791333	7	1,2,3,4,5,6,7	1	1	1	1	1	1	1
jlSCF_9	5791333	5841454	6	1,2,3,4,6,7	1	1	1	1	0	1	1
jlSCF_9	5841454	5862447	3	1,2,6	1	1	0	0	0	1	0
jlSCF_9	11456228	11476047	2	2,4	0	1	0	1	0	0	0
jlSCF_9	12267446	12424789	1	6	0	0	0	0	0	1	0
jlSCF_9	12424789	12479893	2	2,6	0	1	0	0	0	1	0
jlSCF_9	12479893	12628789	3	1,2,6	1	1	0	0	0	1	0
jlSCF_9	12628789	12803678	6	1,2,3,4,6,7	1	1	1	1	0	1	1
jlSCF_9	12803678	12810922	5	1,2,3,4,7	1	1	1	1	0	0	1
jlSCF_9	12810922	12896787	3	1,4,7	1	0	0	1	0	0	1
jlSCF_9	12896787	13105753	6	1,2,3,4,5,7	1	1	1	1	1	0	1
jlSCF_9	13105753	15105287	5	1,2,4,5,7	1	1	0	1	1	0	1
jlSCF_9	22041793	22220996	2	5,6	0	0	0	0	1	1	0
jlSCF_9	22220996	22724584	1	6	0	0	0	0	0	1	0
jlSCF_9	22724584	23159186	2	5,6	0	0	0	0	1	1	0
jlSCF_9	23159186	23675089	1	5	0	0	0	0	1	0	0
jlSCF_9	26546775	26893745	3	2,4,7	0	1	0	1	0	0	1
jlSCF_9	26893745	27182466	2	4,7	0	0	0	1	0	0	1
jlSCF_9	27636661	27748042	1	3	0	0	1	0	0	0	0
jlSCF_9	27748042	27866419	2	3,7	0	0	1	0	0	0	1
jlSCF_9	27866419	28075607	1	7	0	0	0	0	0	0	1
jlSCF_10	385460	530683	1	7	0	0	0	0	0	0	1
jlSCF_10	530683	781862	2	1,7	1	0	0	0	0	0	1
jlSCF_10	781862	888534	3	1,2,7	1	1	0	0	0	0	1
jlSCF_10	888534	956208	5	1,2,5,6,7	1	1	0	0	1	1	1
jlSCF_10	956208	1320971	6	1,2,3,5,6,7	1	1	1	0	1	1	1
