chrom	start	end	num	list	ERR2990227.sam_N_Europe_rubella.bed	ERR5555037.sam_N_Europe_rubella.bed	SRR1664898.sam_N_Europe_rubella.bed	SRR1665062.sam_N_Europe_rubella.bed	SRR1665067.sam_N_Europe_rubella.bed	SRR1665071.sam_N_Europe_rubella.bed	SRR1665072.sam_N_Europe_rubella.bed	SRR1751470.sam_N_Europe_rubella.bed	SRR5406791.sam_N_Europe_rubella.bed	SRR5412136.sam_N_Europe_rubella.bed	SRR5412137.sam_N_Europe_rubella.bed	SRR5803008.sam_N_Europe_rubella.bed	SRR5803009.sam_N_Europe_rubella.bed	SRR6179229.sam_N_Europe_rubella.bed	SRR6179230.sam_N_Europe_rubella.bed	SRR6179231.sam_N_Europe_rubella.bed	SRR6382382.sam_N_Europe_rubella.bed	SRR6382383.sam_N_Europe_rubella.bed	SRR6382385.sam_N_Europe_rubella.bed	SRR6382392.sam_N_Europe_rubella.bed	SRR6382393.sam_N_Europe_rubella.bed	SRR6382399.sam_N_Europe_rubella.bed	SRR6382400.sam_N_Europe_rubella.bed	SRR8904462.sam_N_Europe_rubella.bed	SRR8904463.sam_N_Europe_rubella.bed	SRR8904464.sam_N_Europe_rubella.bed	SRR8904465.sam_N_Europe_rubella.bed
jlSCF_9	0	172846	11	4,6,10,11,12,13,17,18,21,24,26	0	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0
jlSCF_9	172846	325192	10	4,6,10,11,12,13,17,18,24,26	0	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0
jlSCF_9	325192	329273	11	4,6,10,11,12,13,17,18,19,24,26	0	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0
jlSCF_9	329273	358380	13	4,6,9,10,11,12,13,17,18,19,21,24,26	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	1	0	1	0
jlSCF_9	358380	421235	14	4,6,9,10,11,12,13,17,18,19,21,22,24,26	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0
jlSCF_9	421235	468397	13	6,9,10,11,12,13,17,18,19,21,22,24,26	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0
jlSCF_9	468397	589331	10	6,9,10,11,12,13,17,21,22,24	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0
jlSCF_9	589331	631048	6	6,9,17,21,22,24	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0
jlSCF_9	631048	675831	4	6,17,21,22	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0
jlSCF_9	2755140	2903007	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
