pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
NYC	N_Europe	jlSCF_14	451246	636782	0.2457826902837688	2009	3125646	12717112	1386068
MENA	E_Asia	jlSCF_14	451246	636782	0.3093406810126725	2009	658788	2129652	56140
N_Europe	E_Asia	jlSCF_14	451246	636782	0.2691085192291479	2009	1800322	6689948	687100
N_Europe	MENA	jlSCF_14	451246	636782	0.2320512329850613	2009	363796	1567740	168036
NYC	E_Asia	jlSCF_14	451246	636782	0.2805490736992466	2009	4845684	17272144	487416
NYC	MENA	jlSCF_14	451246	636782	0.245857167140378	2009	995100	4047472	131248
NYC	E_Asia	jlSCF_14	636782	720944	0.3146213719070704	1178	3198164	10165120	248400
N_Europe	MENA	jlSCF_14	636782	720944	0.1612956673017977	1178	147972	917396	100396
N_Europe	E_Asia	jlSCF_14	636782	720944	0.3352660404180504	1178	1318832	3933688	391928
MENA	E_Asia	jlSCF_14	636782	720944	0.4409414961636829	1178	551706	1251200	30464
NYC	N_Europe	jlSCF_14	636782	720944	0.1905479315351161	1178	1420608	7455384	814176
NYC	MENA	jlSCF_14	636782	720944	0.1880007490674616	1178	445740	2370948	79292
MENA	E_Asia	jlSCF_14	720944	835615	0.3711578706428618	483	181612	489312	36192
N_Europe	MENA	jlSCF_14	720944	835615	0.1625918796924774	483	57778	355356	61956
NYC	MENA	jlSCF_14	720944	835615	0.1660532093503809	483	154290	929160	75480
NYC	N_Europe	jlSCF_14	720944	835615	0.1692740339274729	483	516212	3049564	341096
N_Europe	E_Asia	jlSCF_14	720944	835615	0.3147864486819295	483	505542	1605984	167592
NYC	E_Asia	jlSCF_14	720944	835615	0.2950607085313995	483	1238692	4198092	71628
NYC	E_Asia	jlSCF_14	1291022	1344804	0.1067512973634325	831	767456	7189196	156844
N_Europe	E_Asia	jlSCF_14	1291022	1344804	0.1030660424572953	831	288312	2797352	254080
N_Europe	MENA	jlSCF_14	1291022	1344804	0.1019211576846307	831	66994	657312	60672
NYC	MENA	jlSCF_14	1291022	1344804	0.1060105187630389	831	179070	1689172	39308
NYC	N_Europe	jlSCF_14	1291022	1344804	0.102619261015169	831	559660	5453752	379868
MENA	E_Asia	jlSCF_14	1291022	1344804	0.0671111049575868	831	58166	866712	37416
NYC	N_Europe	jlSCF_14	1702092	1840619	0.2385191301426467	1701	2587134	10846652	1094368
N_Europe	MENA	jlSCF_14	1702092	1840619	0.3530542976131617	1701	465584	1318732	150932
NYC	E_Asia	jlSCF_14	1702092	1840619	0.3971572853819667	1701	5888130	14825688	211152
N_Europe	E_Asia	jlSCF_14	1702092	1840619	0.351675378764413	1701	1975528	5617476	628596
NYC	MENA	jlSCF_14	1702092	1840619	0.3981569272390225	1701	1385782	3480492	57588
MENA	E_Asia	jlSCF_14	1702092	1840619	0.0780718957148308	1701	140768	1803056	47632
NYC	E_Asia	jlSCF_14	1840619	1950897	0.420013849056698	1290	4709328	11212316	191284
MENA	E_Asia	jlSCF_14	1840619	1950897	0.1114163956487608	1290	151012	1355384	48136
NYC	N_Europe	jlSCF_14	1840619	1950897	0.2094033864131408	1290	1748138	8348184	707616
NYC	MENA	jlSCF_14	1840619	1950897	0.411302993476439	1290	1081666	2629852	53348
N_Europe	MENA	jlSCF_14	1840619	1950897	0.3529536542525563	1290	356078	1008852	105708
N_Europe	E_Asia	jlSCF_14	1840619	1950897	0.3604026358812403	1290	1550184	4301256	435624
N_Europe	MENA	jlSCF_14	1950897	1987762	0.4058378065571807	508	162702	400904	38008
NYC	N_Europe	jlSCF_14	1950897	1987762	0.2222504386649108	508	735152	3307764	258396
NYC	MENA	jlSCF_14	1950897	1987762	0.4731927142136028	508	491210	1038076	18564
NYC	E_Asia	jlSCF_14	1950897	1987762	0.4779968783980977	508	2108232	4410556	80164
N_Europe	E_Asia	jlSCF_14	1950897	1987762	0.3917708453208264	508	667250	1703164	162212
MENA	E_Asia	jlSCF_14	1950897	1987762	0.1496936783285833	508	80046	534732	17972
N_Europe	MENA	jlSCF_14	1987762	2034633	0.4406879783572762	597	205900	467224	48584
