pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
NYC	E_Asia	jlSCF_9	0	478864	0.8755633582894249	5345
MENA	E_Asia	jlSCF_9	0	478864	0.6701887134943657	5345
N_Europe	E_Asia	jlSCF_9	0	478864	0.5077628624568469	5345
N_Europe	MENA	jlSCF_9	0	478864	0.355311919534188	5345
NYC	MENA	jlSCF_9	0	478864	0.8729322155398508	5345
NYC	N_Europe	jlSCF_9	0	478864	0.4618263532508724	5345
MENA	E_Asia	jlSCF_9	478864	574578	0.6182910434894905	1209
N_Europe	E_Asia	jlSCF_9	478864	574578	0.4528131430357884	1209
N_Europe	MENA	jlSCF_9	478864	574578	0.2758533952104323	1209
NYC	MENA	jlSCF_9	478864	574578	0.755403051787004	1209
NYC	N_Europe	jlSCF_9	478864	574578	0.3793120574953511	1209
NYC	E_Asia	jlSCF_9	478864	574578	0.7963289113311671	1209
NYC	E_Asia	jlSCF_9	574578	579065	0.8082095141634189	90
MENA	E_Asia	jlSCF_9	574578	579065	0.7297021648675057	90
NYC	N_Europe	jlSCF_9	574578	579065	0.3152177591747335	90
NYC	MENA	jlSCF_9	574578	579065	0.7358787631872823	90
N_Europe	E_Asia	jlSCF_9	574578	579065	0.533760098896387	90
N_Europe	MENA	jlSCF_9	574578	579065	0.2742387986215051	90
N_Europe	MENA	jlSCF_9	579065	592743	0.1617577458240716	173
NYC	E_Asia	jlSCF_9	579065	592743	0.4919870295530353	173
NYC	MENA	jlSCF_9	579065	592743	0.2623764881848496	173
NYC	N_Europe	jlSCF_9	579065	592743	0.0310800497291627	173
MENA	E_Asia	jlSCF_9	579065	592743	0.7632386751653255	173
N_Europe	E_Asia	jlSCF_9	579065	592743	0.5046412392383984	173
MENA	E_Asia	jlSCF_9	592743	629540	0.6954161096122727	376
N_Europe	E_Asia	jlSCF_9	592743	629540	0.4559204600230935	376
N_Europe	MENA	jlSCF_9	592743	629540	0.1914722962982865	376
NYC	E_Asia	jlSCF_9	592743	629540	0.3913751694668696	376
NYC	N_Europe	jlSCF_9	592743	629540	-0.0119513891935103	376
NYC	MENA	jlSCF_9	592743	629540	0.1974625270604036	376
NYC	N_Europe	jlSCF_9	721750	735815	0.1606340161866556	298
NYC	MENA	jlSCF_9	721750	735815	0.6663001481426805	298
MENA	E_Asia	jlSCF_9	721750	735815	0.2933746954459387	298
N_Europe	E_Asia	jlSCF_9	721750	735815	0.2842703939513198	298
N_Europe	MENA	jlSCF_9	721750	735815	0.1905290087677134	298
NYC	E_Asia	jlSCF_9	721750	735815	0.5762215491735553	298
MENA	E_Asia	jlSCF_9	1977343	2019028	0.709154889839202	356
N_Europe	E_Asia	jlSCF_9	1977343	2019028	0.7285399736404488	356
N_Europe	MENA	jlSCF_9	1977343	2019028	0.7507161834172229	356
NYC	E_Asia	jlSCF_9	1977343	2019028	0.7880092098101886	356
NYC	MENA	jlSCF_9	1977343	2019028	0.8120718566493967	356
NYC	N_Europe	jlSCF_9	1977343	2019028	0.0727782841262869	356
NYC	MENA	jlSCF_9	2698625	2800001	0.1557999268339948	1593
NYC	N_Europe	jlSCF_9	2698625	2800001	0.0266321012071843	1593
NYC	E_Asia	jlSCF_9	2698625	2800001	0.2708483054169195	1593
MENA	E_Asia	jlSCF_9	2698625	2800001	0.7558052752077195	1593
N_Europe	E_Asia	jlSCF_9	2698625	2800001	0.3788269404713452	1593
N_Europe	MENA	jlSCF_9	2698625	2800001	0.3001397390074898	1593
NYC	N_Europe	jlSCF_9	2800001	2887983	0.0828317736122166	1453
NYC	E_Asia	jlSCF_9	2800001	2887983	0.3020716740506517	1453
NYC	MENA	jlSCF_9	2800001	2887983	0.2797411238988035	1453
N_Europe	MENA	jlSCF_9	2800001	2887983	0.2418866776778633	1453
N_Europe	E_Asia	jlSCF_9	2800001	2887983	0.3223624436181141	1453
