pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
NYC	E_Asia	jlSCF_9	0	478864	0.4566942400459224	5357	21245522	46520232	835648
MENA	E_Asia	jlSCF_9	0	478864	0.1289477344301056	5357	726866	5636904	191512
N_Europe	E_Asia	jlSCF_9	0	478864	0.2877339142487757	5357	5134858	17845856	1825048
N_Europe	MENA	jlSCF_9	0	478864	0.2623141323669851	5357	1102010	4201108	427340
NYC	MENA	jlSCF_9	0	478864	0.4510307367206007	5357	4938976	10950420	192140
NYC	N_Europe	jlSCF_9	0	478864	0.2527193444573729	5357	8763390	34676372	2929768
MENA	E_Asia	jlSCF_9	478864	574578	0.1031573854166996	1209	130478	1264844	50548
N_Europe	E_Asia	jlSCF_9	478864	574578	0.2699697614046469	1209	1085286	4020028	419420
N_Europe	MENA	jlSCF_9	478864	574578	0.2559247241499401	1209	241034	941816	102760
NYC	MENA	jlSCF_9	478864	574578	0.4612982642838197	1209	1133980	2458236	56484
NYC	N_Europe	jlSCF_9	478864	574578	0.302412753101603	1209	2363548	7815636	671544
NYC	E_Asia	jlSCF_9	478864	574578	0.4632357482081142	1209	4860666	10492856	194704
NYC	E_Asia	jlSCF_9	574578	579065	0.4439639648652434	94	355022	799664	31296
MENA	E_Asia	jlSCF_9	574578	579065	0.0693709961735242	94	6454	93036	9236
NYC	N_Europe	jlSCF_9	574578	579065	0.276024835578036	94	165022	597852	62028
NYC	MENA	jlSCF_9	574578	579065	0.4108957306702717	94	75378	183448	12072
N_Europe	E_Asia	jlSCF_9	574578	579065	0.2868027678005493	94	86876	302912	42256
N_Europe	MENA	jlSCF_9	574578	579065	0.2512517985611511	94	17462	69500	11716
N_Europe	MENA	jlSCF_9	579065	592743	0.1490618280361719	173	20242	135796	13676
NYC	E_Asia	jlSCF_9	579065	592743	0.2203683833572514	173	331070	1502348	26972
NYC	MENA	jlSCF_9	579065	592743	0.1649847612597358	173	58464	354360	5480
NYC	N_Europe	jlSCF_9	579065	592743	0.1936058651404503	173	216226	1116836	97624
MENA	E_Asia	jlSCF_9	579065	592743	0.0924324679304759	173	16890	182728	5496
N_Europe	E_Asia	jlSCF_9	579065	592743	0.2096449169619901	173	120680	575640	59616
MENA	E_Asia	jlSCF_9	592743	629540	0.1185773738147301	377	47070	396956	13220
N_Europe	E_Asia	jlSCF_9	592743	629540	0.2419474865937828	377	303016	1252404	131940
N_Europe	MENA	jlSCF_9	592743	629540	0.1992297156186007	377	58764	294956	30772
NYC	E_Asia	jlSCF_9	592743	629540	0.2492572924823805	377	814852	3269120	63560
NYC	N_Europe	jlSCF_9	592743	629540	0.2403628043259971	377	584072	2429960	216580
NYC	MENA	jlSCF_9	592743	629540	0.2074105245658058	377	159692	769932	14228
NYC	N_Europe	jlSCF_9	721750	735815	0.0887796712199989	298	172256	1940264	151696
NYC	MENA	jlSCF_9	721750	735815	0.1379294611488798	298	84644	613676	6164
MENA	E_Asia	jlSCF_9	721750	735815	0.210569003458032	298	66982	318100	6124
N_Europe	E_Asia	jlSCF_9	721750	735815	0.2084100626429352	298	209598	1005700	88556
N_Europe	MENA	jlSCF_9	721750	735815	0.1746493848412738	298	41394	237012	20460
NYC	E_Asia	jlSCF_9	721750	735815	0.1767627582329638	298	460298	2604044	30276
MENA	E_Asia	jlSCF_9	1977343	2019028	0.1531726225242924	357	57694	376660	11756
N_Europe	E_Asia	jlSCF_9	1977343	2019028	0.157360721335249	357	187506	1191568	119336
N_Europe	MENA	jlSCF_9	1977343	2019028	0.1430044077918384	357	40230	281320	27128
NYC	E_Asia	jlSCF_9	1977343	2019028	0.162464364494782	357	503776	3100840	55040
NYC	MENA	jlSCF_9	1977343	2019028	0.1474406254609824	357	107946	732132	10428
NYC	N_Europe	jlSCF_9	1977343	2019028	0.0331631331567441	357	76822	2316488	189652
NYC	MENA	jlSCF_9	2698625	2800001	0.1197005435088776	1597	390964	3266184	55576
NYC	N_Europe	jlSCF_9	2698625	2800001	0.1210611875765211	1597	1256158	10376224	834716
NYC	E_Asia	jlSCF_9	2698625	2800001	0.130888286359319	1597	1820688	13910244	207236
MENA	E_Asia	jlSCF_9	2698625	2800001	0.0777713935765477	1597	131564	1691676	45860
N_Europe	E_Asia	jlSCF_9	2698625	2800001	0.0752478144529766	1597	404274	5372568	491616
N_Europe	MENA	jlSCF_9	2698625	2800001	0.0746174723051851	1597	94138	1261608	118200
NYC	N_Europe	jlSCF_9	2800001	2887983	0.141153590309736	1454	1329214	9416792	790288
NYC	E_Asia	jlSCF_9	2800001	2887983	0.1272380886714838	1454	1609174	12646952	206408
NYC	MENA	jlSCF_9	2800001	2887983	0.1430198157066597	1454	425024	2971784	52536
N_Europe	MENA	jlSCF_9	2800001	2887983	0.0958490235572291	1454	109450	1141900	114356
N_Europe	E_Asia	jlSCF_9	2800001	2887983	0.0875793176847673	1454	425598	4859572	479516
MENA	E_Asia	jlSCF_9	2800001	2887983	0.0678298666791826	1454	104054	1534044	47908
NYC	N_Europe	jlSCF_9	2887983	2910958	0.3771719722247272	174	418246	1108900	112580
NYC	MENA	jlSCF_9	2887983	2910958	0.443196963878284	174	156952	354136	7784
N_Europe	E_Asia	jlSCF_9	2887983	2910958	0.2088633653245499	174	117692	563488	75440
N_Europe	MENA	jlSCF_9	2887983	2910958	0.1457573946818046	174	19514	133880	16456
MENA	E_Asia	jlSCF_9	2887983	2910958	0.110261935971207	174	19852	180044	9268
NYC	E_Asia	jlSCF_9	2887983	2910958	0.4948484466147126	174	737342	1490036	48124
NYC	MENA	jlSCF_9	2910958	2949731	0.4373510533107644	585	521926	1193380	23420
N_Europe	E_Asia	jlSCF_9	2910958	2949731	0.2858270195482243	585	551996	1931224	216896
N_Europe	MENA	jlSCF_9	2910958	2949731	0.2113924942324287	585	96028	454264	51176
NYC	E_Asia	jlSCF_9	2910958	2949731	0.4587987698207158	585	2327822	5073732	97668
NYC	N_Europe	jlSCF_9	2910958	2949731	0.328989863341163	585	1234216	3751532	355168
MENA	E_Asia	jlSCF_9	2910958	2949731	0.1569887783795042	585	96474	614528	21952
N_Europe	E_Asia	jlSCF_9	2949731	3247952	0.2885768342167896	3447	3313490	11482176	1175208
MENA	E_Asia	jlSCF_9	2949731	3247952	0.1072109474327154	3447	387562	3614948	135388
N_Europe	MENA	jlSCF_9	2949731	3247952	0.3036229242428284	3447	819556	2699256	278952
NYC	E_Asia	jlSCF_9	2949731	3247952	0.5073708492478697	3447	15168434	29896148	575332
NYC	MENA	jlSCF_9	2949731	3247952	0.510545239089925	3447	3588018	7027816	141944
NYC	N_Europe	jlSCF_9	2949731	3247952	0.3064023568206211	3447	6841054	22327028	1870912
NYC	E_Asia	jlSCF_9	3247952	3268026	0.3146418297274366	278	759490	2413824	43696
N_Europe	MENA	jlSCF_9	3247952	3268026	0.1954969949144706	278	42286	216300	23892
NYC	MENA	jlSCF_9	3247952	3268026	0.3341165313762818	278	188844	565204	13036
NYC	N_Europe	jlSCF_9	3247952	3268026	0.2665299130792113	278	477370	1791056	160504
N_Europe	E_Asia	jlSCF_9	3247952	3268026	0.1503160857328426	278	138862	923800	97016
MENA	E_Asia	jlSCF_9	3247952	3268026	0.1573402109941969	278	45876	291572	10892
N_Europe	MENA	jlSCF_9	3268026	3283813	0.1529501948342312	239	28732	187852	18644
N_Europe	E_Asia	jlSCF_9	3268026	3283813	0.1496334336462497	239	119930	801492	76116
NYC	N_Europe	jlSCF_9	3268026	3283813	0.2215202996021718	239	341890	1543380	134400
NYC	MENA	jlSCF_9	3268026	3283813	0.2394037620941997	239	116988	488664	8456
NYC	E_Asia	jlSCF_9	3268026	3283813	0.2265980607478876	239	472534	2085340	27420
MENA	E_Asia	jlSCF_9	3268026	3283813	0.1004317612391862	239	25494	253844	6188
NYC	MENA	jlSCF_9	3283813	3293832	0.2512131367292225	146	74962	298400	5280
NYC	E_Asia	jlSCF_9	3283813	3293832	0.2257475229173342	146	287438	1273272	17368
N_Europe	MENA	jlSCF_9	3283813	3293832	0.1642637549030001	146	18594	113196	12948
N_Europe	E_Asia	jlSCF_9	3283813	3293832	0.1600261699889854	146	77292	482996	53116
MENA	E_Asia	jlSCF_9	3283813	3293832	0.1698784273150543	146	26270	154640	4208
NYC	N_Europe	jlSCF_9	3283813	3293832	0.1929104637693594	146	179862	932360	92560
N_Europe	E_Asia	jlSCF_9	3293832	3315967	0.1355826761956932	283	127714	941964	97212
NYC	MENA	jlSCF_9	3293832	3315967	0.1811606681591183	283	105200	580700	7940
NYC	E_Asia	jlSCF_9	3293832	3315967	0.1393011482499583	283	344392	2472284	29436
N_Europe	MENA	jlSCF_9	3293832	3315967	0.1786850860697237	283	39528	221216	23296
NYC	N_Europe	jlSCF_9	3293832	3315967	0.1057788102942084	283	191964	1814768	171892
MENA	E_Asia	jlSCF_9	3293832	3315967	0.1748938428874734	283	52720	301440	6464
N_Europe	MENA	jlSCF_9	3315967	3399542	0.1817840183708034	1469	209938	1154876	114340
NYC	N_Europe	jlSCF_9	3315967	3399542	0.0872253870073398	1469	828062	9493360	819020
NYC	MENA	jlSCF_9	3315967	3399542	0.1891752954885966	1469	568188	3003500	52020
NYC	E_Asia	jlSCF_9	3315967	3399542	0.1483688055333134	1469	1900386	12808528	177432
MENA	E_Asia	jlSCF_9	3315967	3399542	0.1858380390143737	1469	289610	1558400	39872
N_Europe	E_Asia	jlSCF_9	3315967	3399542	0.1320875791457337	1469	650460	4924460	469708
N_Europe	E_Asia	jlSCF_9	3399542	3401767	0.0878177238378749	42	12272	139744	14480
NYC	E_Asia	jlSCF_9	3399542	3401767	0.1942419499105545	42	69492	357760	13520
NYC	MENA	jlSCF_9	3399542	3401767	0.24523752109959	42	20340	82940	4420
NYC	N_Europe	jlSCF_9	3399542	3401767	0.1863688843989031	42	51654	277160	17680
