pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
NYC	N_Europe	jlSCF_10	1	100000	0.0417685052446867	1286	341240	8169792	857928
NYC	MENA	jlSCF_10	1	100000	0.0484289062282791	1286	118448	2445812	229068
NYC	E_Asia	jlSCF_10	1	100000	0.0581726288939214	1286	632726	10876696	491544
N_Europe	MENA	jlSCF_10	1	100000	0.0483194457043382	1286	44744	926004	185100
N_Europe	E_Asia	jlSCF_10	1	100000	0.0596776677753559	1286	244878	4103344	618848
MENA	E_Asia	jlSCF_10	1	100000	0.0436849319063311	1286	53928	1234476	164692
MENA	E_Asia	jlSCF_10	100001	200000	0.124725214444476	2076	245560	1968808	289880
N_Europe	E_Asia	jlSCF_10	100001	200000	0.0457885682248466	2076	305120	6663672	959400
N_Europe	MENA	jlSCF_10	100001	200000	0.1250982006413981	2076	185990	1486752	306912
NYC	MENA	jlSCF_10	100001	200000	0.126281049424225	2076	493522	3908124	409956
NYC	N_Europe	jlSCF_10	100001	200000	0.0228221493615981	2076	302650	13261240	1312280
NYC	E_Asia	jlSCF_10	100001	200000	0.0505247366057076	2076	886408	17544040	807800
NYC	N_Europe	jlSCF_10	200001	300000	0.0221797633894092	1957	277304	12502568	1235572
NYC	MENA	jlSCF_10	200001	300000	0.1201221790819784	1957	455166	3789192	281368
NYC	E_Asia	jlSCF_10	200001	300000	0.0771990685625577	1957	1296932	16799840	500040
N_Europe	MENA	jlSCF_10	200001	300000	0.1161053892082473	1957	167156	1439692	251156
N_Europe	E_Asia	jlSCF_10	200001	300000	0.0736334187004969	1957	468882	6367788	818316
MENA	E_Asia	jlSCF_10	200001	300000	0.1303884077144097	1957	252312	1935080	194136
MENA	E_Asia	jlSCF_10	300001	400000	0.108346391168477	2434	244774	2259180	389012
N_Europe	E_Asia	jlSCF_10	300001	400000	0.139193061359021	2434	1047322	7524240	1413408
N_Europe	MENA	jlSCF_10	300001	400000	0.1314194490402529	2434	221774	1687528	415448
NYC	MENA	jlSCF_10	300001	400000	0.1600311491862583	2434	725836	4535592	527128
NYC	N_Europe	jlSCF_10	300001	400000	0.0865577416491712	2434	1314210	15183044	1903636
NYC	E_Asia	jlSCF_10	300001	400000	0.182604273035641	2434	3707370	20302756	1213804
N_Europe	MENA	jlSCF_10	400001	500000	0.1557101607113429	3798	434640	2791340	490132
NYC	N_Europe	jlSCF_10	400001	500000	0.0727383602143598	3798	1758426	24174672	2487288
MENA	E_Asia	jlSCF_10	400001	500000	0.1258963261263659	3798	461686	3667192	465032
N_Europe	E_Asia	jlSCF_10	400001	500000	0.1857643486956701	3798	2227640	11991752	1954504
NYC	MENA	jlSCF_10	400001	500000	0.1674872958464498	3798	1234782	7372392	527448
NYC	E_Asia	jlSCF_10	400001	500000	0.2009723335501076	3798	6378476	31738080	1836240
N_Europe	MENA	jlSCF_10	500001	600000	0.1594713489074092	3295	386290	2422316	424564
NYC	E_Asia	jlSCF_10	500001	600000	0.2215239796854195	3295	5966168	26932380	2195420
NYC	MENA	jlSCF_10	500001	600000	0.1631137119506047	3295	1049946	6436896	416704
NYC	N_Europe	jlSCF_10	500001	600000	0.0908481660673823	3295	1897558	20887136	2243764
MENA	E_Asia	jlSCF_10	500001	600000	0.2227117927970604	3295	695814	3124280	460680
N_Europe	E_Asia	jlSCF_10	500001	600000	0.2081072809946237	3295	2108056	10129660	1969580
N_Europe	E_Asia	jlSCF_10	600001	700000	0.1347321741511304	1835	751902	5580716	1157404
N_Europe	MENA	jlSCF_10	600001	700000	0.1119071713314861	1835	138452	1237204	348236
MENA	E_Asia	jlSCF_10	600001	700000	0.0875993412172862	1835	143822	1641816	354664
NYC	E_Asia	jlSCF_10	600001	700000	0.1595293370216934	1835	2410584	15110600	1110800
NYC	N_Europe	jlSCF_10	600001	700000	0.0878634455857422	1835	1003002	11415464	1466236
NYC	MENA	jlSCF_10	600001	700000	0.1292038387863091	1835	431408	3338972	477828
NYC	N_Europe	jlSCF_10	700001	800000	0.1516696345959362	3293	3087634	20357628	2759232
