pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
NYC	jlSCF_14	451246	636782	0.2542462823501935	2009	4140987	16287306	558159
E_Asia	jlSCF_14	451246	636782	0.0205230000832952	2009	91903	4478049	98453
MENA	jlSCF_14	451246	636782	0.1093218349093858	2009	25607	234235	6845
N_Europe	jlSCF_14	451246	636782	0.2339422078773738	2009	565432	2416973	457906
E_Asia	jlSCF_14	636782	720944	0.0841531597117641	1178	222403	2642836	40648
MENA	jlSCF_14	636782	720944	0.06697998919913	1178	9178	137026	4334
N_Europe	jlSCF_14	636782	720944	0.1803493755196938	1178	255284	1415497	270221
NYC	jlSCF_14	636782	720944	0.1996289346823967	1178	1907923	9557347	320183
NYC	jlSCF_14	720944	835615	0.1615644934051696	483	638974	3954916	95039
N_Europe	jlSCF_14	720944	835615	0.1756961901484355	483	100575	572437	118736
MENA	jlSCF_14	720944	835615	0.0718754888158923	483	3676	51144	6816
E_Asia	jlSCF_14	720944	835615	0.1231197106823564	483	134134	1089460	10814
N_Europe	jlSCF_14	1291022	1344804	0.0995757177649219	831	103687	1041288	147873
MENA	jlSCF_14	1291022	1344804	0.0060869110495215	831	582	95615	4105
NYC	jlSCF_14	1291022	1344804	0.1063645283535408	831	739747	6954828	13107
E_Asia	jlSCF_14	1291022	1344804	0.0220252004254174	831	40031	1817509	75509
NYC	jlSCF_14	1702092	1840619	0.2160864884137078	1701	3069149	14203336	59549
N_Europe	jlSCF_14	1702092	1840619	0.2528228231354742	1701	509954	2017041	417090
MENA	jlSCF_14	1702092	1840619	0.0156039938973731	1701	3099	198603	5517
E_Asia	jlSCF_14	1702092	1840619	0.0223180651968884	1701	84456	3784199	90679
N_Europe	jlSCF_14	1840619	1950897	0.2377978344175247	1290	373632	1571217	274773
E_Asia	jlSCF_14	1840619	1950897	0.0250857690912392	1290	71431	2847471	91149
MENA	jlSCF_14	1840619	1950897	0.0212101723075274	1290	3166	149268	5532
NYC	jlSCF_14	1840619	1950897	0.1640858454574678	1290	1771701	10797403	19247
NYC	jlSCF_14	1950897	1987762	0.1577488535013264	508	670485	4250332	9248
N_Europe	jlSCF_14	1950897	1987762	0.2580086055003702	508	161662	626576	100372
MENA	jlSCF_14	1950897	1987762	0.0631552205944618	508	3729	59045	1915
E_Asia	jlSCF_14	1950897	1987762	0.0194231748612885	508	21739	1119230	37994
NYC	jlSCF_14	1987762	2034633	0.2078452765465084	597	1038999	4998906	6939
N_Europe	jlSCF_14	1987762	2034633	0.2817802054798266	597	206138	731556	122751
MENA	jlSCF_14	1987762	2034633	0.0158774048956544	597	1091	68714	2926
E_Asia	jlSCF_14	1987762	2034633	0.0249343902328888	597	32579	1306589	53377
MENA	jlSCF_14	2267106	2379257	0.0130435064472003	1338	2012	154253	6307
