chrom	start	end	num	list	10_137_S27_L003_NYC_rubella.bed	10_143_S28_L003_NYC_rubella.bed	10_148_S29_L003_NYC_rubella.bed	11_160_S30_L003_NYC_rubella.bed	11_161_S31_L003_NYC_rubella.bed	1_13_S2_L003_NYC_rubella.bed	1_15_S3_L003_NYC_rubella.bed	13_184_S32_L003_NYC_rubella.bed	13_188_S33_L003_NYC_rubella.bed	13_192_S34_L003_NYC_rubella.bed	1_3_S1_L003_NYC_rubella.bed	14_200_S35_L003_NYC_rubella.bed	14_201_S36_L003_NYC_rubella.bed	15_211_S37_L003_NYC_rubella.bed	15_213_S38_L003_NYC_rubella.bed	15_224_S39_L003_NYC_rubella.bed	16_227_S40_L003_NYC_rubella.bed	16_235_S41_L003_NYC_rubella.bed	16_239_S42_L003_NYC_rubella.bed	17_241_S43_L003_NYC_rubella.bed	17_249_S44_L003_NYC_rubella.bed	17_254_S45_L003_NYC_rubella.bed	18_256_S46_L003_NYC_rubella.bed	18_258_S47_L003_NYC_rubella.bed	18_270_S48_L003_NYC_rubella.bed	19_274_S49_L003_NYC_rubella.bed	19_280_S50_L003_NYC_rubella.bed	19_284_S51_L003_NYC_rubella.bed	20_290_S52_L003_NYC_rubella.bed	20_295_S53_L003_NYC_rubella.bed	20_300_S54_L003_NYC_rubella.bed	21_302_S55_L003_NYC_rubella.bed	21_306_S56_L003_NYC_rubella.bed	21_312_S57_L003_NYC_rubella.bed	2_19_S4_L003_NYC_rubella.bed	22_320_S58_L003_NYC_rubella.bed	22_321_S59_L003_NYC_rubella.bed	22_325_S60_L003_NYC_rubella.bed	2_27_S5_L003_NYC_rubella.bed	2_30_S6_L003_NYC_rubella.bed	23_337_S61_L003_NYC_rubella.bed	23_341_S62_L003_NYC_rubella.bed	24_351_S63_L003_NYC_rubella.bed	24_357_S64_L003_NYC_rubella.bed	24_359_S65_L003_NYC_rubella.bed	3_36_S7_L003_NYC_rubella.bed	3_38_S8_L003_NYC_rubella.bed	4_46_S9_L003_NYC_rubella.bed	4_54_S10_L003_NYC_rubella.bed	4_55_S11_L003_NYC_rubella.bed	5_61_S12_L003_NYC_rubella.bed	5_66_S13_L003_NYC_rubella.bed	5_69_S14_L003_NYC_rubella.bed	6_80_S15_L003_NYC_rubella.bed	6_83_S16_L003_NYC_rubella.bed	6_89_S17_L003_NYC_rubella.bed	7_105_S20_L003_NYC_rubella.bed	7_94_S18_L003_NYC_rubella.bed	7_99_S19_L003_NYC_rubella.bed	8_112_S21_L003_NYC_rubella.bed	8_117_S22_L003_NYC_rubella.bed	8_118_S23_L003_NYC_rubella.bed	9_122_S24_L003_NYC_rubella.bed	9_123_S25_L003_NYC_rubella.bed	9_127_S26_L003_NYC_rubella.bed
jlSCF_9	0	478864	61	1,2,3,5,6,7,8,9,11,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jlSCF_9	478864	574578	56	1,2,3,5,6,8,9,11,14,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,62,63,64	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
jlSCF_9	574578	579065	55	1,2,3,5,6,8,9,11,14,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,62,63,64	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0
jlSCF_9	579065	592743	21	1,2,8,9,11,26,27,28,29,30,31,41,42,43,44,45,54,55,56,60,62	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0
jlSCF_9	592743	629540	20	1,2,8,9,26,27,28,29,30,31,41,42,43,44,45,54,55,56,60,62	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0
jlSCF_9	721750	735815	65	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jlSCF_9	1977343	2019028	65	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jlSCF_9	2698625	2800001	8	5,17,18,19,26,27,28,62	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
jlSCF_9	2800001	2887983	10	4,5,17,18,19,26,27,28,41,62	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
jlSCF_9	2887983	2910958	50	1,2,3,4,5,6,7,8,9,11,12,13,14,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,41,42,46,47,48,49,50,51,52,53,54,55,56,60,61,62,63,64,65	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1
