pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
NYC	jlSCF_10	1	100000	0.0337895060290754	1286	363433	10755795	27315
N_Europe	jlSCF_10	1	100000	0.0406697458058292	1286	61550	1513410	326856
MENA	jlSCF_10	1	100000	0.017428297993241	1286	2331	133748	20572
E_Asia	jlSCF_10	1	100000	0.029038587602965	1286	78318	2697032	232476
E_Asia	jlSCF_10	100001	200000	0.0141066385641993	2076	61361	4349796	379332
MENA	jlSCF_10	100001	200000	0.0673152030669701	2076	14047	208675	40445
NYC	jlSCF_10	100001	200000	0.0228174078898587	2076	395927	17351971	55289
N_Europe	jlSCF_10	100001	200000	0.02046564048338	2076	50554	2470189	500567
NYC	jlSCF_10	200001	300000	0.0101548880124047	1957	166477	16393780	15665
N_Europe	jlSCF_10	200001	300000	0.0258732757530419	1957	60146	2324638	475829
MENA	jlSCF_10	200001	300000	0.0824486753123532	1957	17032	206577	28263
E_Asia	jlSCF_10	200001	300000	0.034840263190221	1957	146917	4216874	241172
E_Asia	jlSCF_10	300001	400000	0.0594942961714291	2434	296041	4975956	568696
MENA	jlSCF_10	300001	400000	0.1025366276694212	2434	24593	239846	52234
NYC	jlSCF_10	300001	400000	0.0248522772577682	2434	505793	20351978	57112
N_Europe	jlSCF_10	300001	400000	0.0956853822675855	2434	265286	2772482	710572
E_Asia	jlSCF_10	400001	500000	0.0388195719463783	3798	302158	7783651	868193
MENA	jlSCF_10	400001	500000	0.1099033035869646	3798	44213	402290	53470
N_Europe	jlSCF_10	400001	500000	0.0853896053215473	3798	382922	4484410	950528
NYC	jlSCF_10	400001	500000	0.0455789462858012	3798	1449147	31794219	52011
MENA	jlSCF_10	500001	600000	0.0959736506395421	3295	34005	354316	41084
NYC	jlSCF_10	500001	600000	0.0532140038603694	3295	1467987	27586479	42096
N_Europe	jlSCF_10	500001	600000	0.1014823216804378	3295	391697	3859756	855389
E_Asia	jlSCF_10	500001	600000	0.0267284904942245	3295	173527	6492211	1013799
N_Europe	jlSCF_10	600001	700000	0.0879526748772562	1835	182220	2071796	554089
E_Asia	jlSCF_10	600001	700000	0.0312578935629576	1835	114219	3654085	526045
MENA	jlSCF_10	600001	700000	0.0833930967473279	1835	14419	172904	47296
NYC	jlSCF_10	600001	700000	0.0571736500221135	1835	878280	15361622	24853
NYC	jlSCF_10	700001	800000	0.0675229885786393	3293	1858003	27516599	95206
E_Asia	jlSCF_10	700001	800000	0.0103923416843574	3293	66670	6415301	1086153
MENA	jlSCF_10	700001	800000	0.1216657112539487	3293	39901	327956	67204
N_Europe	jlSCF_10	700001	800000	0.1443282198375201	3293	530554	3676024	1036259
N_Europe	jlSCF_10	800001	900000	0.0900662656665872	3499	353452	3924355	1082714
MENA	jlSCF_10	800001	900000	0.1369838425478576	3499	45790	334273	85607
E_Asia	jlSCF_10	800001	900000	0.0465397001246888	3499	338087	7264486	706236
NYC	jlSCF_10	800001	900000	0.1045479961755706	3499	2986719	28567922	771193
E_Asia	jlSCF_10	900001	1000000	0.0531819254625027	2381	258454	4859809	564109
NYC	jlSCF_10	900001	1000000	0.1100111908666785	2381	2124359	19310390	654295
N_Europe	jlSCF_10	900001	1000000	0.1138244395080879	2381	280595	2465156	942055
MENA	jlSCF_10	900001	1000000	0.1263261612708626	2381	31411	248650	37070
MENA	jlSCF_10	1000001	1100000	0.0988596908335651	2290	22038	222922	51878
E_Asia	jlSCF_10	1000001	1100000	0.0126798735880949	2290	57363	4523941	692679
NYC	jlSCF_10	1000001	1100000	0.0996216059642107	2290	1901897	19091210	110440
N_Europe	jlSCF_10	1000001	1100000	0.0879648076008	2290	222759	2532365	744625
E_Asia	jlSCF_10	1100001	1200000	0.0109341953041462	3771	86367	7898798	691540
MENA	jlSCF_10	1100001	1200000	0.1180355926289028	3771	42621	361086	91434
N_Europe	jlSCF_10	1100001	1200000	0.1349089397358377	3771	567250	4204688	1191613
NYC	jlSCF_10	1100001	1200000	0.1310179037568848	3771	4110845	31376208	243627
MENA	jlSCF_10	1200001	1300000	0.0909906897870789	3547	30209	332001	93639
N_Europe	jlSCF_10	1200001	1300000	0.115837879075269	3547	470857	4064793	1010964
NYC	jlSCF_10	1200001	1300000	0.1143367819763557	3547	3391845	29665388	76207
E_Asia	jlSCF_10	1200001	1300000	0.0061349435242511	3547	45222	7371217	708849
MENA	jlSCF_10	1300001	1400000	0.1105243898287776	2653	25975	235016	83344
N_Europe	jlSCF_10	1300001	1400000	0.0899100658627511	2653	261460	2908017	888426
NYC	jlSCF_10	1300001	1400000	0.1125820030747452	2653	2453063	21789122	456283
E_Asia	jlSCF_10	1300001	1400000	0.0498349242175672	2653	278555	5589554	453980
MENA	jlSCF_10	1400001	1500000	0.1016542565441007	3380	31782	312648	92952
N_Europe	jlSCF_10	1400001	1500000	0.1039783091780102	3380	397068	3818758	1018022
NYC	jlSCF_10	1400001	1500000	0.1188326786097457	3380	3334437	28059933	281367
E_Asia	jlSCF_10	1400001	1500000	0.0201796286800758	3380	141127	6993538	706102
E_Asia	jlSCF_10	1500001	1600000	0.0214410483454731	3693	171858	8015373	397281
MENA	jlSCF_10	1500001	1600000	0.0779479551638711	3693	30709	393968	49192
N_Europe	jlSCF_10	1500001	1600000	0.1212498645498198	3693	495696	4088219	1196464
NYC	jlSCF_10	1500001	1600000	0.1126538291074155	3693	3439292	30529739	436066
MENA	jlSCF_10	1600001	1700000	0.081547943959243	1789	14342	175872	38808
N_Europe	jlSCF_10	1600001	1700000	0.1021549750277841	1789	190731	1867075	692984
NYC	jlSCF_10	1600001	1700000	0.1009768115968185	1789	1454667	14405951	594814
E_Asia	jlSCF_10	1600001	1700000	0.0372666445219192	1789	143268	3844403	230939
NYC	jlSCF_10	1700001	1800000	0.0948145101614594	3364	2654369	27995388	211752
N_Europe	jlSCF_10	1700001	1800000	0.1030906308049846	3364	384593	3730630	1083254
E_Asia	jlSCF_10	1700001	1800000	0.0172331949822071	3364	117262	6804426	858766
MENA	jlSCF_10	1700001	1800000	0.0987885034849869	3364	33832	342469	61211
MENA	jlSCF_10	1800001	1900000	0.0921683099691247	3661	33643	365017	74303
N_Europe	jlSCF_10	1800001	1900000	0.0878537933625379	3661	366681	4173764	1065127
NYC	jlSCF_10	1800001	1900000	0.1117750855538053	3661	3392886	30354582	342903
E_Asia	jlSCF_10	1800001	1900000	0.0032906811668553	3661	23810	7235584	1104174
NYC	jlSCF_10	1900001	2000000	0.1009463011096261	767	640197	6341956	89339
MENA	jlSCF_10	1900001	2000000	0.11900247012151	767	9539	80158	11882
N_Europe	jlSCF_10	1900001	2000000	0.1442683303655913	767	119991	831721	265856
E_Asia	jlSCF_10	1900001	2000000	0.003701847932574	767	5940	1604604	142622
E_Asia	jlSCF_10	2000001	2100000	NA	0	NA	NA	NA
MENA	jlSCF_10	2000001	2100000	NA	0	NA	NA	NA
N_Europe	jlSCF_10	2000001	2100000	NA	0	NA	NA	NA
NYC	jlSCF_10	2000001	2100000	NA	0	NA	NA	NA
MENA	jlSCF_10	2100001	2200000	0.1113684896304607	1800	21539	193403	22597
E_Asia	jlSCF_10	2100001	2200000	0.0317893346865167	1800	124415	3913734	186666
NYC	jlSCF_10	2100001	2200000	0.0815376622972057	1800	1214495	14894896	198104
N_Europe	jlSCF_10	2100001	2200000	0.143140333406619	1800	276701	1933075	642725
E_Asia	jlSCF_10	2200001	2300000	0.0064838100908162	2251	32062	4944932	182846
MENA	jlSCF_10	2200001	2300000	0.0740934839659476	2251	18521	249968	20152
N_Europe	jlSCF_10	2200001	2300000	0.1108519325841966	2251	204538	1845146	1376035
NYC	jlSCF_10	2200001	2300000	0.1130830303732576	2251	2079652	18390487	484148
E_Asia	jlSCF_10	2300001	2400000	0.0112586202830947	889	21008	1865948	159194
MENA	jlSCF_10	2300001	2400000	0.0931255261642075	889	8407	90276	16404
NYC	jlSCF_10	2300001	2400000	0.1226345976533859	889	883292	7202633	251632
N_Europe	jlSCF_10	2300001	2400000	0.1170286459394482	889	94776	809853	462306
MENA	jlSCF_10	2400001	2500000	0.1102243313201035	1136	12775	115900	20420
E_Asia	jlSCF_10	2400001	2500000	0.0313999625119638	1136	75719	2411436	176372
NYC	jlSCF_10	2400001	2500000	0.1263570260028711	1136	1118627	8852907	672453
N_Europe	jlSCF_10	2400001	2500000	0.119187921581544	1136	138955	1165848	459768
E_Asia	jlSCF_10	2500001	2600000	0.0455316989702858	445	43161	947933	65777
MENA	jlSCF_10	2500001	2600000	0.0886659772492244	445	4287	48350	5050
N_Europe	jlSCF_10	2500001	2600000	0.121214929546819	445	60166	496358	140437
NYC	jlSCF_10	2500001	2600000	0.1305376269651859	445	475205	3640368	90957
NYC	jlSCF_10	2600001	2700000	0.1366513376394754	1308	1450902	10617547	350033
N_Europe	jlSCF_10	2600001	2700000	0.1175581893474225	1308	164652	1400600	471148
MENA	jlSCF_10	2600001	2700000	0.1196173962886007	1308	16695	139570	17390
E_Asia	jlSCF_10	2600001	2700000	0.0594167262739042	1308	153757	2587773	391851
E_Asia	jlSCF_10	2700001	2800000	0.035501109312164	1881	136540	3846077	438841
