pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
NYC	jlSCF_15	1944950	2038564	0.086907629760676	1716	1246831	14346623	42037
N_Europe	jlSCF_15	1944950	2038564	0.0486297226141585	1716	98709	2029808	425788
MENA	jlSCF_15	1944950	2038564	0.0045973692831324	1716	828	180103	25817
E_Asia	jlSCF_15	1944950	2038564	0.0026537423924121	1716	9397	3541037	368011
E_Asia	jlSCF_15	2321218	2555927	0.0042127581708004	5658	49613	11776845	1112079
MENA	jlSCF_15	2321218	2555927	0.0104820720922693	5658	6499	620011	58949
N_Europe	jlSCF_15	2321218	2555927	0.0916202176526805	5658	594377	6487400	1609198
NYC	jlSCF_15	2321218	2555927	0.0543183577843523	5658	2569814	47310230	132100
E_Asia	jlSCF_15	2555928	2566720	0.0037229794638137	483	3860	1036804	63470
MENA	jlSCF_15	2555928	2566720	0.0093504298625909	483	509	54436	3524
N_Europe	jlSCF_15	2555928	2566720	0.1138405142607149	483	64533	566872	124301
NYC	jlSCF_15	2555928	2566720	0.0456585182319128	483	183971	4029281	20674
NYC	jlSCF_15	2566720	2617200	0.077858768419608	1929	1252699	16089376	85289
N_Europe	jlSCF_15	2566720	2617200	0.1148346619683669	1929	251196	2187458	572941
MENA	jlSCF_15	2566720	2617200	0.0132536609134972	1929	2584	194965	36515
E_Asia	jlSCF_15	2566720	2617200	0.0078052567995893	1929	30560	3915310	478952
E_Asia	jlSCF_15	2617200	2633422	0.0017760395263264	510	1880	1058535	103245
MENA	jlSCF_15	2617200	2633422	0.0046567977889675	510	246	52826	8374
NYC	jlSCF_15	2617200	2633422	0.0829907479052359	510	353622	4260981	15369
N_Europe	jlSCF_15	2617200	2633422	0.096171204437661	510	58600	609330	120480
N_Europe	jlSCF_15	2633422	2700549	0.0916339592700343	2424	259851	2835750	632994
MENA	jlSCF_15	2633422	2700549	0.0068423496120089	2424	1857	271398	19482
NYC	jlSCF_15	2633422	2700549	0.0951444962773664	2424	1925952	20242390	82850
E_Asia	jlSCF_15	2633422	2700549	0.0061215740154215	2424	31398	5129073	392799
MENA	jlSCF_15	2700549	2733070	0.0065722952477249	997	728	110768	8872
E_Asia	jlSCF_15	2700549	2733070	0.0026632431992607	997	5597	2101573	169593
N_Europe	jlSCF_15	2700549	2733070	0.1022918399961693	997	119630	1169497	257210
NYC	jlSCF_15	2700549	2733070	0.0535543635728301	997	439244	8201834	158011
MENA	jlSCF_15	2733070	2807528	0.0044943168638366	1670	775	172440	27960
N_Europe	jlSCF_15	2733070	2807528	0.1160250529878442	1670	221593	1909872	479898
NYC	jlSCF_15	2733070	2807528	0.0640427359562631	1670	895784	13987285	15665
E_Asia	jlSCF_15	2733070	2807528	0.0037991327178971	1670	12933	3404198	400062
E_Asia	jlSCF_15	2807528	2823055	0.0057159455060986	447	5451	953648	64618
MENA	jlSCF_15	2807528	2823055	0.0059455888535223	447	297	49953	3687
N_Europe	jlSCF_15	2807528	2823055	0.1474008721765045	447	77505	525811	113846
NYC	jlSCF_15	2807528	2823055	0.0752714930433415	447	281603	3741164	6931
N_Europe	jlSCF_15	2823055	2910697	0.089630599206561	2938	310540	3464665	739613
NYC	jlSCF_15	2823055	2910697	0.1041416866506794	2938	2559766	24579648	55482
E_Asia	jlSCF_15	2823055	2910697	0.005059466972651	2938	31421	6210338	482426
MENA	jlSCF_15	2823055	2910697	0.0088760134759912	2938	2877	324132	28428
E_Asia	jlSCF_15	2910697	2963642	0.0031920717080731	1553	10852	3399673	138061
MENA	jlSCF_15	2910697	2963642	0.0430167729464043	1553	7299	169678	16682
N_Europe	jlSCF_15	2910697	2963642	0.0161917719073046	1553	30753	1899298	323045
