pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
NYC	N_Europe	jlSCF_14	451246	636782	-0.0073400450423617	2007
MENA	E_Asia	jlSCF_14	451246	636782	0.8683894501554591	2007
N_Europe	E_Asia	jlSCF_14	451246	636782	0.5553099827695263	2007
N_Europe	MENA	jlSCF_14	451246	636782	0.191229858701837	2007
NYC	E_Asia	jlSCF_14	451246	636782	0.4443055030169637	2007
NYC	MENA	jlSCF_14	451246	636782	0.1761744555653157	2007
NYC	E_Asia	jlSCF_14	636782	720944	0.5153090320084192	1174
N_Europe	MENA	jlSCF_14	636782	720944	0.1527862363875308	1174
N_Europe	E_Asia	jlSCF_14	636782	720944	0.6166584588806385	1174
MENA	E_Asia	jlSCF_14	636782	720944	0.819769728499967	1174
NYC	N_Europe	jlSCF_14	636782	720944	-0.0116151089294272	1174
NYC	MENA	jlSCF_14	636782	720944	0.1908059172984515	1174
MENA	E_Asia	jlSCF_14	720944	835615	0.7065839093847274	480
N_Europe	MENA	jlSCF_14	720944	835615	0.1685238744852494	480
NYC	MENA	jlSCF_14	720944	835615	0.2102099318774794	480
NYC	N_Europe	jlSCF_14	720944	835615	-0.0075111235656588	480
N_Europe	E_Asia	jlSCF_14	720944	835615	0.5331740130573195	480
NYC	E_Asia	jlSCF_14	720944	835615	0.5062836134493169	480
NYC	E_Asia	jlSCF_14	1291022	1344804	0.3510520134040825	830
N_Europe	E_Asia	jlSCF_14	1291022	1344804	0.4318299403275392	830
N_Europe	MENA	jlSCF_14	1291022	1344804	0.3725131059899968	830
NYC	MENA	jlSCF_14	1291022	1344804	0.3246720882387691	830
NYC	N_Europe	jlSCF_14	1291022	1344804	-0.0042900813728253	830
MENA	E_Asia	jlSCF_14	1291022	1344804	0.7288757333959561	830
NYC	N_Europe	jlSCF_14	1702092	1840619	0.0049545058642045	1700
N_Europe	MENA	jlSCF_14	1702092	1840619	0.500736018680242	1700
NYC	E_Asia	jlSCF_14	1702092	1840619	0.6450477315666909	1700
N_Europe	E_Asia	jlSCF_14	1702092	1840619	0.6361458801907979	1700
NYC	MENA	jlSCF_14	1702092	1840619	0.5765172001881653	1700
MENA	E_Asia	jlSCF_14	1702092	1840619	0.7288609683910803	1700
NYC	E_Asia	jlSCF_14	1840619	1950897	0.7326393874638814	1288
MENA	E_Asia	jlSCF_14	1840619	1950897	0.7796760143991588	1288
NYC	N_Europe	jlSCF_14	1840619	1950897	0.0337634634324276	1288
NYC	MENA	jlSCF_14	1840619	1950897	0.671128544225298	1288
N_Europe	MENA	jlSCF_14	1840619	1950897	0.5211408247400889	1288
