pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
N_Europe	jlSCF_9	0	478864	0.248004523611043	5357	1618418	6525760	1140107
E_Asia	jlSCF_9	0	478864	0.0479962902990166	5357	566376	11800412	402834
MENA	jlSCF_9	0	478864	0.0287020100881792	5357	17873	622709	20131
NYC	jlSCF_9	0	478864	0.0613574438804424	5357	2751961	44851298	67147
E_Asia	jlSCF_9	478864	574578	0.0369793499412017	1209	98363	2659944	94158
MENA	jlSCF_9	478864	574578	0.0437579974983106	1209	6087	139106	5974
NYC	jlSCF_9	478864	574578	0.1266047985267828	1209	1281502	10122065	15400
N_Europe	jlSCF_9	478864	574578	0.2705027144031207	1209	397273	1468647	261432
NYC	jlSCF_9	574578	579065	0.1247174538795338	94	97661	783058	5132
N_Europe	jlSCF_9	574578	579065	0.2711913227417976	94	30128	111095	23419
MENA	jlSCF_9	574578	579065	0.0358569716340391	94	359	10012	1268
E_Asia	jlSCF_9	574578	579065	0.0134555870481837	94	2687	199694	14438
MENA	jlSCF_9	579065	592743	0.0203374734029392	173	411	20209	551
NYC	jlSCF_9	579065	592743	0.1747678814916431	173	252757	1446244	4361
N_Europe	jlSCF_9	579065	592743	0.1963096361089672	173	41205	209898	37665
E_Asia	jlSCF_9	579065	592743	0.0223719273973571	173	8538	381639	12455
N_Europe	jlSCF_9	592743	629540	0.2409333517305422	377	110008	456591	82896
MENA	jlSCF_9	592743	629540	0.0398778598122322	377	1750	43884	1356
E_Asia	jlSCF_9	592743	629540	0.0337502799579039	377	28029	830482	28324
NYC	jlSCF_9	592743	629540	0.2396864516055231	377	754311	3147074	14071
NYC	jlSCF_9	721750	735815	0.0184807250778553	298	46074	2493084	5646
N_Europe	jlSCF_9	721750	735815	0.1405277919082063	298	51659	367607	58831
E_Asia	jlSCF_9	721750	735815	0.1587891837922287	298	105601	665039	13805
MENA	jlSCF_9	721750	735815	0.1404227475747489	298	4936	35151	609
E_Asia	jlSCF_9	1977343	2019028	0.0477736378057328	357	37555	786103	27143
MENA	jlSCF_9	1977343	2019028	0.0319442114596563	357	1333	41729	1111
NYC	jlSCF_9	1977343	2019028	0.0261272320980819	357	78150	2991132	2313
N_Europe	jlSCF_9	1977343	2019028	0.0351259684374692	357	15338	436657	74210
MENA	jlSCF_9	2698625	2800001	0.0133988699231054	1597	2497	186359	5281
E_Asia	jlSCF_9	2698625	2800001	0.0207963618199577	1597	73816	3549467	88499
NYC	jlSCF_9	2698625	2800001	0.1556634310033466	1597	2075119	13330806	60039
N_Europe	jlSCF_9	2698625	2800001	0.0746721659550987	1597	146829	1966315	318992
MENA	jlSCF_9	2800001	2887983	0.0183474854195103	1454	3105	169233	5247
E_Asia	jlSCF_9	2800001	2887983	0.0150475406400808	1454	48399	3216406	95806
NYC	jlSCF_9	2800001	2887983	0.1468357613599087	1454	1785565	12160287	31503
N_Europe	jlSCF_9	2800001	2887983	0.1064861262659919	1454	189033	1775189	305485
E_Asia	jlSCF_9	2887983	2910958	0.0265251278698714	174	9900	373231	23141
MENA	jlSCF_9	2887983	2910958	0.023999203345947	174	482	20084	796
N_Europe	jlSCF_9	2887983	2910958	0.19952562177085	174	41051	205743	43251
NYC	jlSCF_9	2887983	2910958	0.2029448517332724	174	295260	1454878	4112
NYC	jlSCF_9	2910958	2949731	0.1885951476597382	585	922248	4890094	15131
N_Europe	jlSCF_9	2910958	2949731	0.2355549401212564	585	165006	700499	136636
MENA	jlSCF_9	2910958	2949731	0.0300939237109449	585	2041	67821	2379
E_Asia	jlSCF_9	2910958	2949731	0.0569107774901377	585	73272	1287489	45141
E_Asia	jlSCF_9	2949731	3247952	0.0357924129000653	3447	271213	7577388	274878
NYC	jlSCF_9	2949731	3247952	0.1166850609924782	3447	3365880	28845852	57243
N_Europe	jlSCF_9	2949731	3247952	0.263980905323656	3447	1110522	4206827	725830
MENA	jlSCF_9	2949731	3247952	0.0305013023281465	3447	12167	398901	14739
N_Europe	jlSCF_9	3247952	3268026	0.1430185604776602	278	48098	336306	61512
NYC	jlSCF_9	3247952	3268026	0.2356765881945087	278	547254	2322055	8975
MENA	jlSCF_9	3247952	3268026	0.064414498721068	278	2065	32058	1302
E_Asia	jlSCF_9	3247952	3268026	0.0812859988069665	278	49874	613562	19722
NYC	jlSCF_9	3268026	3283813	0.2467977254590989	239	491742	1992490	11525
E_Asia	jlSCF_9	3268026	3283813	0.0644280639165367	239	34385	533696	10746
N_Europe	jlSCF_9	3268026	3283813	0.1536727590105181	239	44722	291021	50988
MENA	jlSCF_9	3268026	3283813	0.0554380935316251	239	1547	27905	775
E_Asia	jlSCF_9	3283813	3293832	0.0985360481606009	146	32032	325079	7509
MENA	jlSCF_9	3283813	3293832	0.1076008942228497	146	1829	16998	522
N_Europe	jlSCF_9	3283813	3293832	0.1272625704758668	146	22098	173641	35285
NYC	jlSCF_9	3283813	3293832	0.2102492899864927	146	256366	1219343	4867
MENA	jlSCF_9	3293832	3315967	0.1751580849141824	283	5817	33210	750
N_Europe	jlSCF_9	3293832	3315967	0.1034189041822629	283	35089	339290	65683
NYC	jlSCF_9	3293832	3315967	0.103716330853128	283	245135	2363514	9441
E_Asia	jlSCF_9	3293832	3315967	0.0957233138071078	283	60527	632312	12362
MENA	jlSCF_9	3315967	3399542	0.107112653465924	1469	18365	171455	4825
NYC	jlSCF_9	3315967	3399542	0.0975664516514456	1469	1195475	12252931	64634
N_Europe	jlSCF_9	3315967	3399542	0.0724274650219689	1469	129680	1790481	311658
E_Asia	jlSCF_9	3315967	3399542	0.0776116831980726	1469	254114	3274172	72210
E_Asia	jlSCF_9	3399542	3401767	0.015749448769293	42	1400	88892	6784
NYC	jlSCF_9	3399542	3401767	0.2430644291109407	42	85600	352170	0
N_Europe	jlSCF_9	3399542	3401767	0.097197634562507	42	5161	53098	7004
MENA	jlSCF_9	3399542	3401767	0.0094236248082401	42	43	4563	477
E_Asia	jlSCF_9	3401767	3426861	0.0193691880579373	373	15928	822337	27357
MENA	jlSCF_9	3401767	3426861	0.0086615845743551	373	367	42371	2389
N_Europe	jlSCF_9	3401767	3426861	0.1344894253760459	373	61702	458787	74976
NYC	jlSCF_9	3401767	3426861	0.2005718823241154	373	625408	3118124	9481
N_Europe	jlSCF_9	3426861	3520633	0.236666306322005	1549	440041	1859331	357288
E_Asia	jlSCF_9	3426861	3520633	0.0440481680551228	1549	152537	3462959	65663
MENA	jlSCF_9	3426861	3520633	0.0379877978588695	1549	6930	182427	3453
NYC	jlSCF_9	3426861	3520633	0.268148372435284	1549	3468005	12933157	55208
E_Asia	jlSCF_9	3520633	3568715	0.0466917130105461	773	80273	1719213	41681
MENA	jlSCF_9	3520633	3568715	0.0636186209496773	773	5737	90178	2582
N_Europe	jlSCF_9	3520633	3568715	0.155189252713026	773	145392	936869	169294
NYC	jlSCF_9	3520633	3568715	0.224611667252658	773	1451437	6461984	19621
N_Europe	jlSCF_9	3568715	3591965	0.1564750666755436	420	79909	510682	90338
MENA	jlSCF_9	3568715	3591965	0.0335389838930065	420	1620	48302	2098
E_Asia	jlSCF_9	3568715	3591965	0.0369871810168844	420	34099	921914	34846
NYC	jlSCF_9	3568715	3591965	0.2592987030630971	420	912308	3518367	3333
NYC	jlSCF_9	3591965	3611416	0.2870556622540481	237	568111	1979097	8148
MENA	jlSCF_9	3591965	3611416	0.0108549646033762	237	299	27545	895
N_Europe	jlSCF_9	3591965	3611416	0.1695538569127302	237	48733	287419	51728
