pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
NYC	N_Europe	jlSCF_10	1	100000	0.1024101801032284	245
NYC	MENA	jlSCF_10	1	100000	0.4590115933487813	245
NYC	E_Asia	jlSCF_10	1	100000	0.4507097202629082	245
N_Europe	MENA	jlSCF_10	1	100000	0.3718715737931371	245
N_Europe	E_Asia	jlSCF_10	1	100000	0.4069351216946353	245
MENA	E_Asia	jlSCF_10	1	100000	0.4171561017678035	245
MENA	E_Asia	jlSCF_10	100001	200000	0.7804013800845437	493
N_Europe	E_Asia	jlSCF_10	100001	200000	0.6344767902963977	493
N_Europe	MENA	jlSCF_10	100001	200000	0.7145920125864224	493
NYC	MENA	jlSCF_10	100001	200000	0.7468010740860828	493
NYC	N_Europe	jlSCF_10	100001	200000	0.0405376401363608	493
NYC	E_Asia	jlSCF_10	100001	200000	0.620059864821591	493
NYC	N_Europe	jlSCF_10	200001	300000	0.2208988282733585	498
NYC	MENA	jlSCF_10	200001	300000	0.8126058073902898	498
NYC	E_Asia	jlSCF_10	200001	300000	0.7520185836197318	498
N_Europe	MENA	jlSCF_10	200001	300000	0.6108370070766195	498
N_Europe	E_Asia	jlSCF_10	200001	300000	0.588852827624441	498
MENA	E_Asia	jlSCF_10	200001	300000	0.6371120044384703	498
MENA	E_Asia	jlSCF_10	300001	400000	0.323917618923509	775
N_Europe	E_Asia	jlSCF_10	300001	400000	0.4591205368148893	775
N_Europe	MENA	jlSCF_10	300001	400000	0.2343265713199397	775
NYC	MENA	jlSCF_10	300001	400000	0.7548470306459255	775
NYC	N_Europe	jlSCF_10	300001	400000	0.3676366767770084	775
NYC	E_Asia	jlSCF_10	300001	400000	0.800833967220218	775
N_Europe	MENA	jlSCF_10	400001	500000	0.3723787688072241	1293
NYC	N_Europe	jlSCF_10	400001	500000	0.1071664064406519	1293
MENA	E_Asia	jlSCF_10	400001	500000	0.5194538188643921	1293
N_Europe	E_Asia	jlSCF_10	400001	500000	0.6818130540699264	1293
NYC	MENA	jlSCF_10	400001	500000	0.6342148922121348	1293
NYC	E_Asia	jlSCF_10	400001	500000	0.7899878710339154	1293
N_Europe	MENA	jlSCF_10	500001	600000	0.3530693558900837	1394
NYC	E_Asia	jlSCF_10	500001	600000	0.8053079207818535	1394
NYC	MENA	jlSCF_10	500001	600000	0.6054048544735674	1394
