chrom	start	end	num	list	39-12-28_med_rubella_chunks.bed	5.16_med_rubella_chunks.bed	70.5_med_rubella_chunks.bed	AL87_med_rubella_chunks.bed	JO56_med_rubella_chunks.bed	JO59_med_rubella_chunks.bed	TR73_med_rubella_chunks.bed	WAC5_med_rubella_chunks.bed
SCF_9	950824	1004286	7	1,2,3,4,5,6,8	1	1	1	1	1	1	0	1
SCF_9	3242690	3736328	1	1	1	0	0	0	0	0	0	0
SCF_9	4374081	4426172	1	6	0	0	0	0	0	1	0	0
SCF_9	4778357	4841808	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_9	4926225	4944181	1	6	0	0	0	0	0	1	0	0
SCF_9	4944181	5106408	3	2,4,6	0	1	0	1	0	1	0	0
SCF_9	5106408	5499420	2	2,4	0	1	0	1	0	0	0	0
SCF_9	5499420	5702291	3	2,4,6	0	1	0	1	0	1	0	0
SCF_9	5702291	5767741	2	2,4	0	1	0	1	0	0	0	0
SCF_9	6211627	6658160	1	2	0	1	0	0	0	0	0	0
SCF_9	6658160	6705623	2	2,4	0	1	0	1	0	0	0	0
SCF_9	6705623	6780931	1	4	0	0	0	1	0	0	0	0
SCF_9	6780931	6911006	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_9	6911006	7029900	6	1,2,3,5,6,7	1	1	1	0	1	1	1	0
SCF_9	7029900	7208556	3	2,3,7	0	1	1	0	0	0	1	0
SCF_9	7208556	7218163	2	2,7	0	1	0	0	0	0	1	0
SCF_9	8113152	8354243	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_9	10235810	10390002	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_9	13277045	13335144	1	7	0	0	0	0	0	0	1	0
SCF_9	13335144	13378326	2	3,7	0	0	1	0	0	0	1	0
SCF_9	13378326	13426734	3	3,6,7	0	0	1	0	0	1	1	0
SCF_9	13426734	13483995	4	3,6,7,8	0	0	1	0	0	1	1	1
SCF_9	13483995	13488167	2	3,7	0	0	1	0	0	0	1	0
SCF_9	13488167	13543794	3	2,3,7	0	1	1	0	0	0	1	0
SCF_9	13543794	13695062	5	1,2,3,5,7	1	1	1	0	1	0	1	0
SCF_9	13695062	13780712	7	1,2,3,5,6,7,8	1	1	1	0	1	1	1	1
SCF_9	13780712	13812965	3	5,6,7	0	0	0	0	1	1	1	0
SCF_9	13812965	13945355	4	2,5,6,7	0	1	0	0	1	1	1	0
SCF_9	13945355	14050378	7	2,3,4,5,6,7,8	0	1	1	1	1	1	1	1
SCF_9	14050378	14102083	5	2,4,6,7,8	0	1	0	1	0	1	1	1
SCF_9	14102083	14586967	3	4,7,8	0	0	0	1	0	0	1	1
SCF_9	14586967	14951147	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_9	15118320	15166137	3	4,7,8	0	0	0	1	0	0	1	1
SCF_9	15166137	15492305	2	4,8	0	0	0	1	0	0	0	1
SCF_9	15492305	15681033	3	4,7,8	0	0	0	1	0	0	1	1
SCF_9	15681033	15861823	1	4	0	0	0	1	0	0	0	0
SCF_9	15861823	16091174	2	4,7	0	0	0	1	0	0	1	0
SCF_9	16091174	16517151	1	4	0	0	0	1	0	0	0	0
SCF_9	19017913	19373512	4	3,5,6,8	0	0	1	0	1	1	0	1
SCF_9	19373512	19672684	3	5,6,8	0	0	0	0	1	1	0	1
SCF_9	19672684	19705842	2	6,8	0	0	0	0	0	1	0	1
SCF_9	19705842	19971168	3	1,6,8	1	0	0	0	0	1	0	1
SCF_9	19971168	20199683	1	1	1	0	0	0	0	0	0	0
SCF_9	20199683	20288397	3	1,6,8	1	0	0	0	0	1	0	1
SCF_9	20288397	20369818	7	1,3,4,5,6,7,8	1	0	1	1	1	1	1	1
SCF_9	20369818	20372979	4	3,6,7,8	0	0	1	0	0	1	1	1
SCF_9	20372979	20425876	3	3,6,8	0	0	1	0	0	1	0	1
SCF_9	20425876	20643519	2	6,8	0	0	0	0	0	1	0	1
SCF_10	163090	292309	1	8	0	0	0	0	0	0	0	1
SCF_10	292309	435067	2	6,8	0	0	0	0	0	1	0	1
SCF_10	435067	571673	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
SCF_10	571673	703736	7	1,2,3,5,6,7,8	1	1	1	0	1	1	1	1
SCF_10	703736	758077	4	2,3,6,7	0	1	1	0	0	1	1	0
